queryId,queryDomain,queryType,query,citedUrl,citedDomain,position,avsScore,avsGrade,seoScore,aeoScore
"tech-info-01","tech","informational","What is AEO and how does it differ from SEO?","https://birdeye.com/blog/aeo-vs-seo/","birdeye.com",1,,,"",""
"tech-info-01","tech","informational","What is AEO and how does it differ from SEO?","https://birdeye.com/blog/aeo-vs-seo/","birdeye.com",2,,,"",""
"tech-info-02","tech","informational","What is prompt injection in AI systems?","https://openai.com/safety/prompt-injections/","openai.com",1,,,"",""
"tech-info-02","tech","informational","What is prompt injection in AI systems?","https://www.ibm.com/think/topics/prompt-injection","www.ibm.com",2,82,B,"93","71"
"tech-info-02","tech","informational","What is prompt injection in AI systems?","https://en.wikipedia.org/wiki/Prompt_injection","en.wikipedia.org",3,75,B,"78","71"
"tech-info-02","tech","informational","What is prompt injection in AI systems?","https://openai.com/safety/prompt-injections/","openai.com",4,66,C,"78","53"
"tech-info-02","tech","informational","What is prompt injection in AI systems?","https://en.wikipedia.org/wiki/Prompt_injection","en.wikipedia.org",5,75,B,"78","71"
"tech-info-02","tech","informational","What is prompt injection in AI systems?","https://en.wikipedia.org/wiki/Prompt_injection","en.wikipedia.org",6,75,B,"78","71"
"tech-info-02","tech","informational","What is prompt injection in AI systems?","https://openai.com/safety/prompt-injections/","openai.com",7,66,C,"78","53"
"tech-info-02","tech","informational","What is prompt injection in AI systems?","https://openai.com/safety/prompt-injections/","openai.com",8,66,C,"78","53"
"tech-info-02","tech","informational","What is prompt injection in AI systems?","https://openai.com/safety/prompt-injections/","openai.com",9,66,C,"78","53"
"tech-info-02","tech","informational","What is prompt injection in AI systems?","https://www.youtube.com/watch?v=jrHRe9lSqqA&utm_source=openai","www.youtube.com",10,63,C,"78","48"
"tech-info-03","tech","informational","What is llms.txt and why does it matter for websites?","https://txt-llms.com/about-llms-txt","txt-llms.com",1,68,C,"78","57"
"tech-info-03","tech","informational","What is llms.txt and why does it matter for websites?","https://txt-llms.com/about-llms-txt","txt-llms.com",2,68,C,"78","57"
"tech-info-03","tech","informational","What is llms.txt and why does it matter for websites?","https://txt-llms.com/about-llms-txt","txt-llms.com",3,68,C,"78","57"
"tech-info-03","tech","informational","What is llms.txt and why does it matter for websites?","https://txt-llms.com/about-llms-txt","txt-llms.com",4,68,C,"78","57"
"tech-info-03","tech","informational","What is llms.txt and why does it matter for websites?","https://txt-llms.com/about-llms-txt","txt-llms.com",5,68,C,"78","57"
"tech-info-04","tech","informational","How do AI search engines decide which websites to cite?","https://emetdigital.com/blog/ai-search-ranking-factors/","emetdigital.com",1,85,B,"92","77"
"tech-info-04","tech","informational","How do AI search engines decide which websites to cite?","https://emetdigital.com/blog/ai-search-ranking-factors/","emetdigital.com",2,85,B,"92","77"
"tech-info-04","tech","informational","How do AI search engines decide which websites to cite?","https://emetdigital.com/blog/ai-search-ranking-factors/","emetdigital.com",3,85,B,"92","77"
"tech-info-04","tech","informational","How do AI search engines decide which websites to cite?","https://emetdigital.com/blog/ai-search-ranking-factors/","emetdigital.com",4,85,B,"92","77"
"tech-info-04","tech","informational","How do AI search engines decide which websites to cite?","https://emetdigital.com/blog/ai-search-ranking-factors/","emetdigital.com",5,85,B,"92","77"
"tech-info-05","tech","informational","What is structured data and how does it help SEO?","https://ahrefs.com/seo/glossary/structured-data","ahrefs.com",1,61,C,"76","46"
"tech-info-05","tech","informational","What is structured data and how does it help SEO?","https://www.wix.com/seo/learn/resource/structured-data-for-seo","www.wix.com",2,79,B,"90","67"
"tech-info-05","tech","informational","What is structured data and how does it help SEO?","https://www.positional.com/blog/structured-data-seo","www.positional.com",3,57,D,"58","56"
"tech-info-05","tech","informational","What is structured data and how does it help SEO?","https://www.youtube.com/watch?v=-oKPvBhbTQM&utm_source=openai","www.youtube.com",4,56,D,"63","48"
"tech-info-06","tech","informational","How does Schema.org markup improve search visibility?","https://www.madx.digital/glossary/schema-org","www.madx.digital",1,74,C,"91","57"
"tech-info-06","tech","informational","How does Schema.org markup improve search visibility?","https://www.walkersands.com/about/blog/how-can-schema-markup-support-llm-visibility/","www.walkersands.com",2,88,B,"91","84"
"tech-info-06","tech","informational","How does Schema.org markup improve search visibility?","https://www.navishark.com/en/kb/qgkdr7/using-structured-data-markup-schema-org-to-improve-dental-clinic-search-results","www.navishark.com",3,71,C,"77","65"
"tech-info-06","tech","informational","How does Schema.org markup improve search visibility?","https://alignify.co/seo/schema","alignify.co",4,93,A,"96","89"
"tech-info-07","tech","informational","What is E-E-A-T and why does Google care about it?","https://www.moccu.com/en/insights/content-marketing/e-e-a-t-google-seo/","www.moccu.com",1,87,B,"97","77"
"tech-info-07","tech","informational","What is E-E-A-T and why does Google care about it?","https://gorilla.marketing/insights/what-is-eeat/","gorilla.marketing",2,68,C,"73","63"
"tech-info-07","tech","informational","What is E-E-A-T and why does Google care about it?","https://www.searchenginejournal.com/google-e-e-a-t-how-to-demonstrate-first-hand-experience/474446/","www.searchenginejournal.com",3,85,B,"85","85"
"tech-info-07","tech","informational","What is E-E-A-T and why does Google care about it?","https://backlinko.com/google-e-e-a-t","backlinko.com",4,89,B,"88","90"
"tech-info-07","tech","informational","What is E-E-A-T and why does Google care about it?","https://www.searchenginejournal.com/google-e-e-a-t-how-to-demonstrate-first-hand-experience/474446/","www.searchenginejournal.com",5,85,B,"85","85"
"tech-info-08","tech","informational","What are the OWASP Top 10 for LLM applications?","https://genai.owasp.org/resource/owasp-top-10-for-llm-applications-2025/","genai.owasp.org",1,74,C,"88","59"
"tech-info-08","tech","informational","What are the OWASP Top 10 for LLM applications?","https://www.youtube.com/watch?v=7AuVarlhOtM&utm_source=openai","www.youtube.com",2,56,D,"63","48"
"tech-info-09","tech","informational","What is a deterministic security scanner?","https://pypi.org/project/privscan/","pypi.org",1,34,E,"41","26"
"tech-info-09","tech","informational","What is a deterministic security scanner?","https://pypi.org/project/autonoma-cli/","pypi.org",2,34,E,"41","26"
"tech-info-09","tech","informational","What is a deterministic security scanner?","https://pypi.org/project/shipsafe/","pypi.org",3,69,C,"72","66"
"tech-info-10","tech","informational","How does Retrieval Augmented Generation work?","https://www.youtube.com/watch?v=T-D1OfcDW1M&utm_source=openai","www.youtube.com",1,63,C,"78","48"
"tech-comp-01","tech","comparative","Semrush vs Ahrefs for small business SEO in 2026","https://www.techradar.com/pro/semrush-has-a-new-tool-to-help-marketers-win-in-the-ai-age-make-sure-your-business-doesnt-get-hidden","www.techradar.com",1,81,B,"88","73"
"tech-comp-01","tech","comparative","Semrush vs Ahrefs for small business SEO in 2026","https://www.techradar.com/news/best-seo-tool","www.techradar.com",2,89,B,"90","88"
"tech-comp-01","tech","comparative","Semrush vs Ahrefs for small business SEO in 2026","https://www.crobenchmark.com/blog/ahrefs-vs-semrush-seo-tool-comparison","www.crobenchmark.com",3,63,C,"70","55"
"tech-comp-01","tech","comparative","Semrush vs Ahrefs for small business SEO in 2026","https://www.youtube.com/watch?v=x9xT9ZXvEu4&utm_source=openai","www.youtube.com",4,54,D,"60","48"
"tech-comp-02","tech","comparative","Firebase vs Supabase for SaaS startups","https://startupik.com/supabase-vs-firebase-best-backend-platform-for-startups-compared/","startupik.com",1,80,B,"85","75"
"tech-comp-02","tech","comparative","Firebase vs Supabase for SaaS startups","https://startupik.com/supabase-vs-firebase-best-backend-platform-for-startups-compared/","startupik.com",2,80,B,"85","75"
"tech-comp-02","tech","comparative","Firebase vs Supabase for SaaS startups","https://www.leanware.co/insights/supabase-vs-firebase-complete-comparison-guide","www.leanware.co",3,,,"",""
"tech-comp-02","tech","comparative","Firebase vs Supabase for SaaS startups","https://startupik.com/supabase-vs-firebase-best-backend-platform-for-startups-compared/","startupik.com",4,80,B,"85","75"
"tech-comp-02","tech","comparative","Firebase vs Supabase for SaaS startups","https://www.leanware.co/insights/supabase-vs-firebase-complete-comparison-guide","www.leanware.co",5,83,B,"88","78"
"tech-comp-02","tech","comparative","Firebase vs Supabase for SaaS startups","https://www.leanware.co/insights/supabase-vs-firebase-complete-comparison-guide","www.leanware.co",6,83,B,"88","78"
